,Year,Month,States Affected and Category by States,Highest Saffir- Simpson U.S. Category,Central Pressure (mb),Max Wind (kt),Name
55,1881,Sep,"NC, 2",2,975,90,-----
56,1882,Sep,"FL, NW3; I-AL, 1",3,949,110,-----
57,1882,Oct,"FL, NW1",1,985,70,-----
58,1883,Sep,"NC, 2; SC, 1",2,965,90,-----
59,1885,Aug,"SC, 2; NC, 1; GA, 1; FL, NE1",2,970,90,-----
60,1886,Jun,"TX, N2; LA, 2",2,970,85,-----
61,1886,Jun,"FL, NW2; I-GA, 1",2,970,85,-----
62,1886,Jun,"FL, NW2; I-GA, 1",2,970,85,-----
63,1886,Jul,"FL, NW1",1,982,70,-----
64,1886,Aug,"TX, C4",4,925,130,"""Indianola"""
65,1886,Sep,"# TX, S1, C1",1,973,80,-----
66,1886,Oct,"LA, 3; TX, N2",3,950,105,-----
67,1887,Jul,"FL, NW1; I-AL, 1",1,978,75,-----
68,1887,Aug,"* NC, 1",1,946,65,-----
69,1887,Sep,"TX, S1",1,973,75,-----
70,1887,Oct,"LA, 1",1,978,75,-----
71,1888,Jun,"TX, C1",1,982,70,-----
72,1888,Aug,"FL, SE3, SW1; LA, 2; I-MS, 1",3,945,110,-----
73,1888,Oct,"FL, NW2, NE1",2,970,95,-----
74,1889,Sep,"LA, 1",1,982,70,-----
75,1891,Jul,"TX, C1, N1",1,974,80,-----
76,1891,Aug,"FL, SE1",1,985,70,-----
77,1893,Aug,"NY, 1; CT, 1",1,986,75,"""Midnight Storm"""
78,1893,Aug,"GA, 3; SC, 3; I-NC, 1; FL, NE1",3,954,100,"""Sea Islands"""
79,1893,Sep,"LA, 2",2,970,85,-----
80,1893,Oct,"LA, 4; MS, 2; AL, 2",4,948,115,"""Chenier Caminanda"""
81,1893,Oct,"SC, 3; NC, 2; I-VA, 1",3,955,105,-----
82,1894,Sep,"FL, SW2, NE1; SC, 1; VA, 1",2,975,90,-----
83,1894,Oct,"FL, NW3; I-GA, 1; NY, 1; RI, 1; CT, 1",3,950,105,-----
84,1895,Aug,"# TX, S1",1,963,65,-----
85,1896,Jul,"FL, NW2",2,970,85,-----
86,1896,Sep,"RI, 1; MA, 1",1,985,70,-----
87,1896,Sep,"FL, NW3, NE3; GA, 2; SC, 1; I-NC, 1; I-VA, 1",3,960,110,-----
88,1897,Sep,"LA, 1; TX, N1",1,978,75,-----
89,1898,Aug,"FL, NW1",1,982,70,-----
90,1898,Aug,"GA, 1; SC, 1",1,980,75,-----
91,1898,Oct,"GA, 4; FL, NE2",4,938,115,-----
92,1899,Aug,"FL, NW2",2,979,85,-----
93,1899,Aug,"NC, 3",3,945,105,-----
94,1899,Oct,"NC, 2; SC, 2",2,955,95,-----
95,1900,Sep,"TX, N4",4,936,120,"""Galveston"""
96,1901,Jul,"NC, 1",1,983,70,-----
97,1901,Aug,"LA, 1; MS, 1; AL, 1",1,973,75,-----
98,1903,Sep,"FL, SE1, NW1",1,974,80,-----
99,1903,Sep,"NJ, 1; DE, 1",1,990,70,-----
