,Year,Storms,Hurricanes,Major Hurricanes,ACE,U.S. Hurricanes
119,1970,14,7,2,67,1 (4)
120,1971,13,6,1,97,"3 (2,1,1)"
121,1972,7,3,0,36,1 (1)
122,1973,8,4,1,48,0
123,1974,11,4,2,68,1 (3)
124,1975,9,6,3,76,1 (3)
125,1976,10,6,2,84,1 (1)
126,1977,6,5,1,25,1 (1)
127,1978,12,5,2,63,0
128,1979,9,5,2,93,"3 (1,2,3)"
129,1980,11,9,2,149,1 (3)
130,1981,12,7,3,100,0
131,1982,6,2,1,32,0
132,1983,4,3,1,17,1 (3)
133,1984,13,5,1,84,1 (3)
134,1985,11,7,3,88,"6 (1,1,3,3,1,2)"
135,1986,6,4,0,36,"2 (1,1)"
136,1987,7,3,1,34,1 (1)
137,1988,12,5,3,103,1 (1)
138,1989,11,7,2,135,"3 (1,4,1)"
139,1990,14,8,1,97,0
140,1991,8,4,2,36,1 (2)
141,1992,7,4,1,76,1 (5)
142,1993,8,4,1,39,1 (3)
143,1994,7,3,0,32,0
144,1995,19,11,5,228,"2 (2,3)"
145,1996,13,9,6,166,"2 (2,3)"
146,1997,8,3,1,41,1 (1)
147,1998,14,10,3,182,"3 (2,1,2)"
148,1999,12,8,5,177,"3 (3,2,1)"
149,2000,15,8,3,119,0
150,2001,15,9,4,110,0
151,2002,12,4,2,67,1 (1)
152,2003,16,7,3,176,"2 (1,2)"
153,2004,15,9,6,227,"6 (1,4,1,2,3,3)"
154,2005,28,15,7,250,"6 (1,3,3,1,3,3)"
155,2006,10,5,2,79,0
156,2007,15,6,2,74,1 (1)
157,2008,16,8,5,146,"3 (1,2,2)"
158,2009,9,3,2,53,0
159,2010,19,12,5,165,0
160,2011,19,7,4,126,1 (1)
161,2012,19,10,2,129,"2 (1,1)"
162,2013,14,2,0,36,0
163,2014,8,6,2,67,1 (2)
164,2015,11,4,2,63,0
165,2016,15,7,4,141,"2 (1,1)"
166,2017,17,10,6,223,"3 (4,1,1)"
167,2018,15,8,2,132,"2 (1,5)"
168,2019,18,6,3,132,"2 (1,2)"
169,2020,30,14,7,180,"6 (1,1,4,2,2,3)"
170,2021,21,7,4,144,"2 (4,1)"
171,2022,14,8,2,93,1 (4)
